,Incr_rate,HousePriceIndex,FutureGrowth,FutureValue,Appreciation
3973,102.91568163908589,0.053,1.053,333364.2999546269,75864.29995462688
3974,140.99129269926323,0.039,1.039,435651.18210502557,75851.18210502557
3975,61.25137211855104,0.047,1.047,369645.3096069519,75845.3096069519
3976,129.4314381270903,0.05,1.05,350211.6607500001,75811.6607500001
3977,174.50381679389312,0.039,1.039,435409.01913553977,75809.01913553977
3978,129.48308870453096,0.039,1.039,435409.01913553977,75809.01913553977
3979,109.40695296523518,0.065,1.065,280593.7486675199,75793.74866751989
3980,78.61111111111111,0.053,1.053,332975.9143624467,75775.9143624467
3981,55.07575757575758,0.065,1.065,280456.74000117835,75756.74000117835
3982,100.5852231163131,0.05,1.05,349956.4044375001,75756.40443750011
3983,345.6575682382134,0.039,1.039,434924.69319656806,75724.69319656806
3984,86.84931506849315,0.065,1.065,280319.7313348368,75719.7313348368
3985,56.661562021439515,0.065,1.065,280319.7313348368,75719.7313348368
3986,94.84457922668689,0.053,1.053,332716.99063432665,75716.99063432665
3987,90.08875739644971,0.053,1.053,332716.99063432665,75716.99063432665
3988,131.12687155240346,0.047,1.047,369016.2331780769,75716.23317807692
3989,188.01042571676803,0.042,1.042,407213.46268026356,75713.46268026356
3990,90.30206677265501,0.039,1.039,434803.6117118251,75703.61171182513
3991,267.8135405105438,0.042,1.042,407090.6230233464,75690.62302334642
3992,161.0909090909091,0.039,1.039,434682.53022708226,75682.53022708226
3993,80.3159973666886,0.05,1.05,349573.5199687501,75673.51996875007
3994,51.78663904712584,0.047,1.047,368764.6026065269,75664.60260652693
3995,134.98935415188075,0.042,1.042,406722.10405259504,75622.10405259504
3996,118.32014607425441,0.039,1.039,434319.2857728535,75619.28577285347
3997,170.43740573152337,0.039,1.039,434198.20428811054,75598.20428811054
3998,133.63844393592677,0.065,1.065,279771.6966694705,75571.69666947052
3999,221.72351885098743,0.039,1.039,433956.0413186247,75556.04131862469
4000,150.60606060606062,0.042,1.042,406353.58508184366,75553.58508184366
4001,47.69585253456221,0.053,1.053,331940.21944996633,75540.21944996633
4002,93.13531353135313,0.047,1.047,368135.5261776519,75535.52617765189
4003,130.91216216216216,0.05,1.05,348935.3791875001,75535.3791875001
4004,130.12202954399484,0.039,1.039,433834.9598338818,75534.95983388182
4005,131.7217981340119,0.05,1.05,348680.1228750001,75480.12287500012
4006,136.61599471249173,0.039,1.039,433471.71537965303,75471.71537965303
4007,109.4847775175644,0.039,1.039,433229.5524101672,75429.55241016718
4008,87.3439273552781,0.042,1.042,405493.7074834238,75393.70748342382
4009,220.05371530886305,0.039,1.039,432866.30795593845,75366.30795593845
4010,108.1799591002045,0.065,1.065,278949.64467142115,75349.64467142115
4011,76.66882696046662,0.05,1.05,347914.3539375001,75314.3539375001
4012,122.59541984732824,0.047,1.047,366877.3733199019,75277.37331990188
4013,170.4787234042553,0.065,1.065,278675.62733873806,75275.62733873806
4014,124.8110831234257,0.039,1.039,432260.90053222387,75260.90053222387
4015,155.03931379556826,0.039,1.039,432018.737562738,75218.73756273801
4016,289.2434988179669,0.042,1.042,404510.9902280868,75210.99022808683
4017,125.14474772539288,0.05,1.05,347403.8413125001,75203.84131250012
4018,60.37884767166535,0.065,1.065,278401.6100060549,75201.61000605492
4019,198.74371859296483,0.039,1.039,431897.6560779951,75197.65607799508
4020,114.18975650713685,0.053,1.053,330257.2152171857,75157.21521718567
4021,72.13225371120107,0.053,1.053,330257.2152171857,75157.21521718567
4022,87.53287743293004,0.039,1.039,431655.4931085092,75155.49310850922
4023,89.45022288261517,0.053,1.053,330127.75335312565,75127.75335312565
4024,55.58267236119585,0.053,1.053,330127.75335312565,75127.75335312565
4025,80.90844570617459,0.053,1.053,329998.29148906557,75098.29148906557
4026,291.5208613728129,0.047,1.047,365996.6663194769,75096.6663194769
4027,242.73648648648648,0.065,1.065,277990.58400703024,75090.58400703024
4028,78.45206684256816,0.065,1.065,277990.58400703024,75090.58400703024
4029,119.13333333333334,0.042,1.042,403773.95228658407,75073.95228658407
4030,94.3820224719101,0.042,1.042,403773.95228658407,75073.95228658407
4031,194.05450041288194,0.039,1.039,431171.16716953757,75071.16716953757
4032,135.9840954274354,0.039,1.039,431171.16716953757,75071.16716953757
4033,121.18012422360249,0.039,1.039,431171.16716953757,75071.16716953757
4034,113.47368421052633,0.065,1.065,277853.57534068864,75053.57534068864
4035,118.25192802056554,0.053,1.053,329739.3677609455,75039.36776094552
4036,112.1875,0.05,1.05,346638.0723750001,75038.0723750001
4037,84.21325051759835,0.039,1.039,430929.0042000517,75029.00420005171
4038,118.28220858895706,0.039,1.039,430807.9227153088,75007.92271530878
4039,183.87869114126096,0.039,1.039,430686.84123056586,74986.84123056586
4040,133.16761363636365,0.042,1.042,403282.5936589156,74982.5936589156
4041,106.49350649350649,0.053,1.053,329350.98216876533,74950.98216876533
4042,87.77490297542045,0.047,1.047,365241.7746048269,74941.77460482687
4043,67.05314009661836,0.04,1.04,420718.5736499201,74918.57364992012
4044,65.9919028340081,0.042,1.042,402914.0746881642,74914.07468816423
4045,249.7047244094488,0.039,1.039,430202.5152915942,74902.5152915942
4046,179.98423955870763,0.039,1.039,430202.5152915942,74902.5152915942
4047,125.20604395604396,0.042,1.042,402791.2350312471,74891.23503124708
4048,137.3029772329247,0.05,1.05,345872.3034375001,74872.30343750009
4049,185.5056179775281,0.053,1.053,328962.5965765852,74862.5965765852
4050,70.88546679499518,0.039,1.039,429960.35232210835,74860.35232210835
4051,132.94930875576037,0.065,1.065,277031.52334263927,74831.52334263927
4052,155.14018691588785,0.039,1.039,429718.18935262255,74818.18935262255
4053,87.67847699629826,0.039,1.039,429718.18935262255,74818.18935262255
4054,62.79816513761468,0.039,1.039,429718.18935262255,74818.18935262255
4055,98.22161422708618,0.047,1.047,364612.6981759519,74812.6981759519
4056,59.13385826771653,0.065,1.065,276894.5146762977,74794.51467629772
4057,108.26743350107837,0.047,1.047,364486.8828901769,74786.8828901769
4058,102.84857571214391,0.05,1.05,345361.7908125001,74761.79081250011
4059,179.26711668273867,0.047,1.047,364361.0676044019,74761.0676044019
4060,177.1291866028708,0.047,1.047,364361.0676044019,74761.0676044019
4061,170.74102368220014,0.039,1.039,429112.7819289079,74712.7819289079
4062,145.4954954954955,0.042,1.042,401685.678118993,74685.678118993
4063,76.33959638135003,0.053,1.053,328056.36352816486,74656.36352816486
4064,117.20257234726688,0.05,1.05,344851.2781875001,74651.27818750008
4065,108.60341779611078,0.039,1.039,428628.45598993625,74628.45598993625
4066,105.93368237347296,0.039,1.039,428628.45598993625,74628.45598993625
4067,90.09009009009009,0.053,1.053,327797.43980004475,74597.43980004475
4068,147.70642201834863,0.05,1.05,344596.0218750001,74596.0218750001
4069,127.08158116063919,0.05,1.05,344596.0218750001,74596.0218750001
4070,119.69080553295362,0.05,1.05,344596.0218750001,74596.0218750001
4071,166.41566265060243,0.039,1.039,428386.2930204504,74586.2930204504
4072,148.28070175438597,0.039,1.039,428386.2930204504,74586.2930204504
4073,146.03616133518776,0.039,1.039,428386.2930204504,74586.2930204504
4074,106.66666666666667,0.065,1.065,276072.46267824835,74572.46267824835
4075,153.80997177798685,0.05,1.05,344340.7655625001,74540.7655625001
4076,109.79166666666667,0.065,1.065,275935.4540119068,74535.45401190681
4077,108.23244552058111,0.04,1.04,418528.5984256001,74528.5984256001
4078,155.2346570397112,0.039,1.039,428023.04856622167,74523.04856622167
4079,184.08360128617363,0.039,1.039,427901.96708147874,74501.96708147874
4080,102.31155778894473,0.065,1.065,275798.4453455652,74498.44534556521
4081,70.12113055181696,0.053,1.053,327279.59234380454,74479.59234380454
4082,135.37117903930132,0.05,1.05,343957.88109375007,74457.88109375007
4083,108.4983498349835,0.053,1.053,327150.1304797445,74450.13047974452
4084,98.9763779527559,0.053,1.053,327150.1304797445,74450.13047974452
4085,88.78923766816143,0.053,1.053,327020.66861568444,74420.66861568444
4086,131.06382978723403,0.042,1.042,400211.6022359875,74411.60223598749
4087,108.1150159744409,0.042,1.042,400088.7625790704,74388.7625790704
4088,164.71544715447155,0.042,1.042,399965.92292215326,74365.92292215326
4089,57.16064757160647,0.053,1.053,326761.74488756433,74361.74488756433
4090,189.25348646431502,0.039,1.039,426933.31520353537,74333.31520353537
4091,233.603707995365,0.047,1.047,362222.20774622686,74322.20774622686
4092,143.12406576980567,0.042,1.042,399597.4039514019,74297.40395140188
4093,193.8281901584654,0.039,1.039,426570.0707493066,74270.07074930659
4094,141.79821551132463,0.039,1.039,426570.0707493066,74270.07074930659
